LICEO MODERNO CELESTIN FREINET - SEDE PRINCIPAL;Engativá;A;NO OFICIAL;53;51;48;50;51;253;;
COL PARROQ DE NSTRA SEÑORA;Sumapaz;A;NO OFICIAL;57;56;51;53;58;273;;
COL AGUSTINIANO CIUDAD SALITRE;Kennedy;A;NO OFICIAL;69;69;67;65;79;342;;
INST ANDRE MICHELIN                                                                                 ;San Cristobal;A;NO OFICIAL;47;42;41;43;45;217;;
COL JAZMIN OCCIDENTAL                                                                               ;Tunjuelito;A;NO OFICIAL;54;53;48;50;50;256;;
COL GIMN LA SALETTE                                                                                 ;Tunjuelito;A;NO OFICIAL;59;57;56;56;73;291;;
COL DE NSTRA SRA DEL ROSARIO;Rafael Uribe Uribe;A;NO OFICIAL;66;69;64;64;71;331;;
COL DIST BENJAMIN HERRERA;Ciudad Bolívar;A;OFICIAL;55;52;50;51;52;260;;
GIMN LOS ROBLES                                                                                     ;Suba;A;NO OFICIAL;60;60;56;59;70;298;;
COLEGIO SAN BENITO DE TIBATI;Los Mártires;A;NO OFICIAL;68;70;66;66;70;338;;
GIMN NUEVO SUBA                                                                                     ;Engativá;A;NO OFICIAL;;;;;60;23;;
COL TECNOLOGICO DE SUBA                                                                             ;Fontibón;A;NO OFICIAL;57;57;51;53;56;273;;
COL SANTA ISABEL DE HUNGRIA;Antonio Nariño;A;NO OFICIAL;58;56;54;54;60;279;;
LIC DE LA UNIVERSIDAD CATOLICA;Santa Fe;A;NO OFICIAL;68;70;64;63;75;335;;
COL SANTA CATALINA DEL SUR ORIENTE;La Candelaria;A;NO OFICIAL;52;48;46;46;51;241;;
LIC SAN LEON MAGNO                                                                                  ;Fontibón;A;NO OFICIAL;53;48;48;50;55;251;;
INST ACAD BETHEL                                                                                    ;Puente Aranda;A;NO OFICIAL;60;56;53;52;57;277;;
COL DE LA PRESENTACION DE FATIMA - SEDE PRINCIPAL;Engativá;A;NO OFICIAL;58;57;54;55;61;282;;
LIC  CULT LOPEZ OSORIO                                                                              ;Antonio Nariño;A;NO OFICIAL;53;50;48;48;50;249;;
LIC TEC MICROEMPRESARIAL FEYSER GORDILLO ROJAS;Barrios Unidos;A;NO OFICIAL;49;47;41;46;44;228;;
LIC JUAN MIGUEL                                                                                     ;Antonio Nariño;A;NO OFICIAL;55;52;51;51;50;260;;
LICEO MODERNO CAMPESTRE;La Candelaria;A;NO OFICIAL;61;60;55;56;66;293;;
COL MI PATRIA                                                                                       ;Usaquén;A;NO OFICIAL;56;52;49;50;57;261;;
COL SAN ISIDRO                                                                                      ;Engativá;A;NO OFICIAL;61;57;58;54;61;289;;
COL MARILLAC                                                                                        ;Fontibón;A;NO OFICIAL;57;56;53;55;58;277;;
COLEGIO ADVENTISTA EMMANUEL;Santa Fe;A;NO OFICIAL;60;57;54;55;61;284;;
FUND COL MAYOR DE SAN BARTOLOME;Tunjuelito;A;NO OFICIAL;65;66;62;63;68;322;;
GIMN GRANADINO                                                                                      ;Rafael Uribe Uribe;A;NO OFICIAL;62;54;58;50;43;275;;
INST COPESAL                                                                                        ;Santa Fe;A;NO OFICIAL;58;55;50;52;60;271;;
INST DIST EDUC BAS Y TECNICA AQUILEO PARRA;Barrios Unidos;A;OFICIAL;46;42;42;42;41;214;;
CENT EDUC DIST SIERRA MORENA;Usme;A;OFICIAL;45;43;40;42;42;212;;
COL JAIME QUIJANO CABALLERO;Tunjuelito;A;NO OFICIAL;57;54;54;54;57;275;;
CENT EDUC DIST PRADO VERANIEGO II;Tunjuelito;A;OFICIAL;58;55;53;53;56;274;;
COL DIST CRISTOBAL COLON (SERVITA);Puente Aranda;A;OFICIAL;46;45;39;42;41;214;;
LIC  RODRIGO ARENAS BETANCOURT;Tunjuelito;A;NO OFICIAL;61;62;59;59;62;302;;
GIMN MODERNO SUMMERHILL                                                                             ;Rafael Uribe Uribe;A;NO OFICIAL;64;64;61;63;67;317;;
LIC ADOLFO LEON GOMEZ                                                                               ;Sumapaz;A;NO OFICIAL;61;64;58;58;52;298;;
COL REAL DE COLOMBIA - SEDE PRINCIPAL;Ciudad Bolívar;A;NO OFICIAL;57;55;50;53;60;271;;
LIC GOLDEN RULE                                                                                     ;Sumapaz;A;NO OFICIAL;62;59;54;56;63;291;;
COL MONTFERRI                                                                                       ;Capinero;A;NO OFICIAL;58;55;53;53;61;276;;
LIC CIAL NUEVO ALEJANDRINO;Antonio Nariño;A;NO OFICIAL;53;50;46;48;51;247;;
COL DE LA REINA                                                                                     ;Suba;A;NO OFICIAL;59;58;54;55;58;283;;
COL SAN LUIS DE LA POLICIA NAL - SEDE PRINCIPAL;San Cristobal;A;NO OFICIAL;60;56;56;55;65;287;;
CENTRO LESTONNAC COMPAÑIA DE MARIA - SEDE PRINCIPAL;Usaquén;A;NO OFICIAL;62;61;59;57;66;301;;
COL EMMANUEL D ALZON                                                                                ;Bosa;A;NO OFICIAL;68;67;65;65;73;334;;
COL GIMN EL PORTILLO                                                                                ;Kennedy;A;NO OFICIAL;61;60;59;59;72;303;;
COL PEDRO DE HEREDIA                                                                                ;Fontibón;A;NO OFICIAL;59;57;55;56;59;285;;
COL NUEVO CAMPESTRE                                                                                 ;Los Mártires;A;NO OFICIAL;63;60;59;57;70;303;;
COL COOP DEL MAGISTERIO DE CUNDINAMARCA;Puente Aranda;A;NO OFICIAL;60;55;54;55;57;280;;
COLEGIO BILINGÜE JOSE ALLAMANO - SEDE PRINCIPAL;La Candelaria;A;NO OFICIAL;66;66;63;63;79;328;;
COL TERESITA DE LISIEUX (INST LISIEUX);Sumapaz;A;NO OFICIAL;61;59;56;58;62;294;;
COL LAUSANA                                                                                         ;Barrios Unidos;A;NO OFICIAL;63;63;59;60;69;309;;
LIC EL ENCANTO                                                                                      ;Engativá;A;NO OFICIAL;55;49;47;51;54;254;;
GIMN SANTA CRISTINA DE TOSCANA;Usaquén;A;NO OFICIAL;66;63;63;63;76;323;;
INST TEC CIAL MARMATOS (INST MODERNO BOSA);Tunjuelito;A;NO OFICIAL;57;55;52;52;47;267;;
INSTITUTO PSICOPEDAGÓGICO EL TESORO DE LA VERDAD - SEDE PRINCIPAL;Santa Fe;A;NO OFICIAL;56;52;52;49;52;261;;
FUNDACION COLEGIO PRINCIPIO DE SABIDURIA;Sumapaz;A;NO OFICIAL;52;51;46;46;52;245;;
COLEGIO DE LA UNIVERSIDAD LIBRE;Bosa;A;NO OFICIAL;63;61;60;59;69;307;;
GIMNASIO INGLES CAMPESTRE;Kennedy;A;NO OFICIAL;60;60;56;55;70;293;;
GIMNASIO LOS ANDES;San Cristobal;A;NO OFICIAL;65;69;64;66;75;333;;
CENT EDUC DIST ALEJANDRO OBREGON;Fontibón;A;OFICIAL;52;52;44;48;50;245;;
